country_code,year,Country,Time,gdp_per_capita,primary_education,secondary_education,tertiary_education,adolescent_fertility
WLD,YR2022,World,2022,12798.1658465319,100.37085723877,77.5006103515625,42.0465698242188,39.2866590040928
WLD,YR2021,World,2021,12390.6686716727,99.4474105834961,77.296272277832,41.0742492675781,39.7326545645705
WLD,YR2020,World,2020,10937.6846205191,99.6324920654297,76.5068206787109,39.7074089050293,40.2200992643883
UMC,YR2024,Upper middle income,2024,10996.101696107,100.673202514648,96.4631271362305,64.5994720458984,22.7841844959083
UMC,YR2023,Upper middle income,2023,10657.9686111279,100.309608459473,95.8254470825195,64.0977478027344,23.3840972244883
UMC,YR2022,Upper middle income,2022,10324.5193124329,101.099327087402,95.3135375976562,61.7802200317383,23.787213990591
UMC,YR2021,Upper middle income,2021,9918.69947746711,100.981430053711,94.9367523193359,58.9831390380859,24.8094834274613
UMC,YR2020,Upper middle income,2020,8346.18727671435,101.335487365723,94.2850799560547,56.021671295166,25.7612161171753
TSS,YR2024,Sub-Saharan Africa (IDA & IBRD countries),2024,1532.92763550207,97.1016311645508,45.9050216674805,,91.9099742659443
TSS,YR2023,Sub-Saharan Africa (IDA & IBRD countries),2023,1680.77966672218,96.7635879516602,45.7079315185547,,93.3848076185789
TSS,YR2022,Sub-Saharan Africa (IDA & IBRD countries),2022,1865.11635260699,96.0115814208984,45.4347686767578,,94.4197483140325
TSS,YR2021,Sub-Saharan Africa (IDA & IBRD countries),2021,1785.46664916614,97.1371994018555,45.3296394348145,9.27116012573242,95.681228476507
TSS,YR2020,Sub-Saharan Africa (IDA & IBRD countries),2020,1627.34569596297,97.9075698852539,44.704761505127,9.19791030883789,96.8413628985919
SSA,YR2024,Sub-Saharan Africa (excluding high income),2024,1576.69166875191,97.1018218994141,45.9034194946289,,94.656269767752
SSA,YR2023,Sub-Saharan Africa (excluding high income),2023,1750.13136836946,96.7637176513672,45.7063407897949,,96.1470186351147
SSA,YR2022,Sub-Saharan Africa (excluding high income),2022,1963.80330032374,96.0116577148438,45.4329109191895,,97.1896628971597
SSA,YR2021,Sub-Saharan Africa (excluding high income),2021,1885.48155965903,97.137321472168,45.3279190063477,9.27089023590088,98.4844208416868
SSA,YR2020,Sub-Saharan Africa (excluding high income),2020,1716.50863861427,97.9076080322266,44.7030181884766,9.19779014587402,99.6532798329244
SSF,YR2024,Sub-Saharan Africa,2024,1532.92763550207,97.1016311645508,45.9050216674805,,91.9099742659443
SSF,YR2023,Sub-Saharan Africa,2023,1680.77966672218,96.7635879516602,45.7079315185547,,93.3848076185789
SSF,YR2022,Sub-Saharan Africa,2022,1865.11635260699,96.0115814208984,45.4347686767578,,94.4197483140324
SSF,YR2021,Sub-Saharan Africa,2021,1785.46664916614,97.1371994018555,45.3296394348145,9.27116012573242,95.6812284765069
SSF,YR2020,Sub-Saharan Africa,2020,1627.34569596297,97.9075698852539,44.704761505127,9.19791030883789,96.8413628985919
TSA,YR2024,South Asia (IDA & IBRD),2024,2690.07883749003,119.026802062988,76.874153137207,32.7833213806152,20.9819653640797
TSA,YR2023,South Asia (IDA & IBRD),2023,2532.38988993306,112.759391784668,77.9340286254883,32.438419342041,22.2344625324849
TSA,YR2022,South Asia (IDA & IBRD),2022,2385.08341896271,111.832740783691,79.9404983520508,30.9421100616455,22.4057962680861
TSA,YR2021,South Asia (IDA & IBRD),2021,2273.72055798689,104.279281616211,79.3212738037109,29.8268604278564,22.8284841488847
TSA,YR2020,South Asia (IDA & IBRD),2020,1957.20343722686,103.280586242676,77.0081481933594,28.2194099426269,23.3138101764624
SAS,YR2024,South Asia,2024,2690.07883749003,119.026802062988,76.874153137207,32.7833213806152,20.9819653640797
SAS,YR2023,South Asia,2023,2532.38988993306,112.759391784668,77.9340286254883,32.438419342041,22.2344625324849
SAS,YR2022,South Asia,2022,2385.08341896271,111.832740783691,79.9404983520508,30.9421100616455,22.4057962680861
SAS,YR2021,South Asia,2021,2273.72055798689,104.279281616211,79.3212738037109,29.8268604278564,22.8284841488847
SAS,YR2020,South Asia,2020,1957.20343722686,103.280586242676,77.0081481933594,28.2194099426269,23.3138101764624
SST,YR2024,Small states,2024,15383.3425638674,100.858131408691,77.5084533691406,22.8753509521484,33.9065458048491
SST,YR2023,Small states,2023,14346.3202783396,99.8499221801758,76.1052169799805,22.5767707824707,34.3567360956864
SST,YR2022,Small states,2022,13636.4661190787,100.158882141113,75.5592727661133,22.5005798339844,34.7739335807628
SST,YR2021,Small states,2021,12428.6087674544,99.7296295166016,75.2126770019531,22.3052196502686,35.2812948290309
SST,YR2020,Small states,2020,10723.093901861,100.52075958252,74.8698806762695,21.8676891326904,36.210386774199
PRE,YR2024,Pre-demographic dividend,2024,1366.06577255622,98.3118515014648,44.7690887451172,,95.9567561326417
PRE,YR2023,Pre-demographic dividend,2023,1558.34344693401,97.9409408569336,44.6065711975098,,97.5936381428691
PRE,YR2022,Pre-demographic dividend,2022,1770.15579032782,97.0898208618164,44.3046188354492,,98.7074615187672
PRE,YR2021,Pre-demographic dividend,2021,1594.14229813292,96.5933227539062,44.1695289611816,8.72068023681641,100.06695592688
PRE,YR2020,Pre-demographic dividend,2020,1496.33767488397,96.3249664306641,43.6063117980957,8.60867023468018,101.389120153336
PST,YR2024,Post-demographic dividend,2024,55644.314789934,99.3445510864258,103.438346862793,80.2341079711914,7.90504445808345
PST,YR2023,Post-demographic dividend,2023,53813.7418308677,99.6486282348633,103.410873413086,81.2349395751953,8.29126920068137
PST,YR2022,Post-demographic dividend,2022,50969.801641014,99.4487686157227,104.075889587402,79.975341796875,8.5279739793989
PST,YR2021,Post-demographic dividend,2021,49855.2269396596,99.9705505371094,105.331413269043,81.0674819946289,8.88794622127654
PST,YR2020,Post-demographic dividend,2020,44743.738932431,100.949989318848,105.267570495605,80.1040878295898,9.57927070740276
PSS,YR2024,Pacific island small states,2024,4453.58561280276,97.7588119506836,83.7621612548828,29.3007507324219,40.5041381341337
PSS,YR2023,Pacific island small states,2023,4173.79964748513,98.5352172851562,84.1793899536133,27.8527202606201,40.8139440218564
PSS,YR2022,Pacific island small states,2022,3896.81060847355,101.287757873535,79.3243865966797,26.6385803222656,41.2060844713637
PSS,YR2021,Pacific island small states,2021,3600.81254375167,103.90096282959,74.7895202636719,25.3326797485352,41.6361084291325
PSS,YR2020,Pacific island small states,2020,3592.04110507296,105.581703186035,73.7883224487305,23.8909606933594,42.0982443449832
OSS,YR2024,Other small states,2024,16094.1266173126,102.251792907715,,22.5716896057129,28.2178900075654
OSS,YR2023,Other small states,2023,15334.1046502228,101.056182861328,,22.353889465332,28.7044439319931
OSS,YR2022,Other small states,2022,14320.7706776288,100.855171203613,73.5171127319336,22.3280200958252,29.0925386689562
OSS,YR2021,Other small states,2021,13717.0894877353,99.947998046875,73.3428726196289,22.1164093017578,29.602885498894
OSS,YR2020,Other small states,2020,11770.4564127379,100.656608581543,72.9210891723633,21.617130279541,30.2475445703507
OED,YR2024,OECD members,2024,48322.1644204871,100.67236328125,105.364547729492,78.6357879638672,16.8683497943946
OED,YR2023,OECD members,2023,46580.4448807226,100.752777099609,105.286712646484,79.5250930786133,17.526456735066
OED,YR2022,OECD members,2022,43950.173710934,100.440856933594,105.27172088623,78.3904876708984,18.0575624915632
OED,YR2021,OECD members,2021,43027.7494275706,101.008346557617,106.182838439941,78.8566436767578,18.6774769819444
OED,YR2020,OECD members,2020,38597.246423496,101.71923828125,106.394569396973,77.2700805664062,19.5482360377534
INX,YR2024,Not classified,2024,,,,,
INX,YR2023,Not classified,2023,,,,,
INX,YR2022,Not classified,2022,,,,,
INX,YR2021,Not classified,2021,,,,,
INX,YR2020,Not classified,2020,,,,,
NAC,YR2024,North America,2024,81275.8436781762,96.7801818847656,98.0855178833008,79.0441970825195,11.6757670765474
NAC,YR2023,North America,2023,78190.0640735535,97.0425415039062,97.7877426147461,82.2317199707031,12.3865451396286
NAC,YR2022,North America,2022,74535.6365392629,96.7618179321289,98.3612213134766,79.3105697631836,12.8530724865799
NAC,YR2021,North America,2021,68424.560031595,98.0177612304688,101.828498840332,84.3603820800781,12.9772112537553
NAC,YR2020,North America,2020,61468.3372208474,99.9889068603516,101.317161560059,86.3354034423828,13.9223203196394
MIC,YR2024,Middle income,2024,6554.37054933497,103.311218261719,79.1449584960938,43.2768402099609,34.0050947023201
MIC,YR2023,Middle income,2023,6386.30246387838,101.537117004395,79.09912109375,42.6316795349121,34.763665821836
MIC,YR2022,Middle income,2022,6248.00962014697,101.193313598633,79.2273635864258,41.134651184082,34.9806617821309
MIC,YR2021,Middle income,2021,6007.32308658146,99.346321105957,78.8162002563477,39.6747283935547,35.5095621417805
MIC,YR2020,Middle income,2020,5134.62007912707,99.3273010253906,77.8046035766602,37.891170501709,36.0516208961807
TMN,YR2024,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2024,2973.77496155262,,,,39.7874286755338
